TRAPX	TRAPY
1684	3003
1691	3009
1699	3000
1694	2993
1717	2982
1709	2991
1703	2983
1710	2975
1654	3031
1662	3037
1651	3048
1644	3041
1667	3095
1656	3083
1650	3091
1645	3117
1652	3126
1661	3117
1653	3109
1660	3117
1660	3102
1667	3110
1657	3121
1650	3112
1621	3142
1628	3151
1618	3160
1612	3152
1662	3224
1670	3231
1671	3214
1678	3222
1703	3230
1694	3237
1693	3220
1686	3228
1681	3157
1688	3165
1681	3173
1673	3165
1653	3170
1663	3160
1661	3178
1670	3168
1771	3089
1780	3098
1777	3080
1786	3089
1810	3061
1817	3069
1810	3076
1802	3068
1838	3050
1828	3059
1835	3067
1844	3058
