talk_id	friend010	friend1019	friend1949	friend4984	friend8495	friend95100
1	我们之间没有什么真感情！	今天天气不错比较适合野餐。	告诉你一个秘密朱仙镇的武师是我的初恋情人。	我这个人其实很爱聊天的，你觉得呢。	在批评别人前应该先检讨下自己。	能和姐姐在一起真是我一生中最大的幸福。
2	和你在一起很无聊。	好大的太阳啊，我都晒黑了。	天竺人可以指挥眼镜蛇跳舞，不知道是不是真的。	要是能和很多武林高手聚会，该多好啊！	有时候人不应该太固执，如果实在不行，也要学会放弃。	现在我觉得自己越来越强了。
3	除了打怪练功你就不会做做别的么！	一个女孩你家为什么要选择行走江湖呢？	上回在集市看到猴子耍把戏真有趣。	推牌九，我不学这个，赌会把人毁掉，最多下下双陆棋。	北方冬天都被严寒和大雪覆盖。	我会尽全力保护姐姐的。
4	我不是你杀怪的机器。	我们偶尔也可以休息一下吧？	今年干旱缺雨水，庄稼又要欠收了。	唉，我的肚又饿了，听到了吧。	听说有个古老的国家叫大秦，那里的战士都很勇猛。	我发现一件有趣的事，树上的喜鹊在啄苹果吃。
5	你要是再不理我，我就要疯掉了！	停下来看看路边的风景也不错！	坐马车真是太颠簸了，我宁可走着。	我只会做馅不会赶皮，包饺子可别找我呦。	我非常敬佩女帝武则天，她是女中豪杰。	忘记是哪年了，我揭了官府的通缉令，抓到人犯时，他们居然一文钱也没有给我。
6	你的脸上显现出疲劳的神色。	还是喜欢唐代女子的服饰，比我们宋代的好看多了。	姐姐没有喜欢的人么？	睡前喝牛奶美容又安神。	谁在做糖醋排骨，好香啊。	最讨厌不讲信用的人。
7	喂，我们可以休息一会吗？	峨嵋的风景非常迷人的，不过住在山上的尼姑们到是不解风情。	夏天雨水多，我们要准备好油纸伞。	北方的西瓜又大又甜，可是那儿已经被金人占据，吃不到了。	不好意思，我的肚子又叫了，刚刚还吃了一个粽子呢。	真香啊，芝麻油的味道。
8	你应该加紧练功，这种身手不行的。	今天我梳了一个新发式，什么时候我也帮你梳一个吧。	以前我学过画画，可总不会画风景。	珍珠粉是种稀有的补品，听说可以美白皮肤。	今年秋天爷爷家的苹果该熟了，真想吃上几个。	和我说说话吧，姐姐，我有些闷啊！
9	在晚上赶路很危险的。	有些很漂亮的女孩也出家当了尼姑，真是可惜呢。	我总是随身带着一两本诗经，无聊时翻开看看。	如果晚上睡不着觉的话，可以喝些枣茶。	一路走来，看到不少孤坟，真不知道他们为什么死在荒野。	我的武器就像自己的胳膊一样，一刻也不能离身。
10	最近山贼总在附近出没。	上回我在村口看到个男孩真像多年不见的表弟。	我会弹琵琶，最喜欢边弹边唱。	玉门关外的胡人会酿造一种红色的葡萄酒，听说与一般的酒味道不同。	旅店里有时候有盗贼出没，听说还是采花大盗。	我正在想，过年给我娘捎什么东西回去。
11	不要让我做那些危险的事！	我出生在一个不知名的小地方，直到学了武功才从家乡出来。	虽然我也想嫁个英雄侠客，可是和这种人没有踏实日子过的。	古代的和尚在敦煌雕刻佛像，收藏了很多经书和宝藏。	我有一个小外甥真淘气，连家里养的猪他都骑着跑。	战争马上就要结束了，太好了。
12	提箱子，拎行李，这样的活不要让我干。	和你在一起这么些日子，我的皮肤都变粗糙了。	曾经我也满怀豪情壮志，别看我只是女孩家。	上个月路过城堭庙时，忘记给神仙上供，结果丢了一袋银两。	有一次，我替外婆收鸡蛋，一不小心让大公鸡给啄了。	闯荡江湖的感觉真不错，四海为家。
13	我可不是你的佣人。	有时间也应该去买点药膏来敷脸，很舒服的。	也许跟着你能实现我以前的报复，成为武林高手，为国家尽力。	鸡有好多种呢，乌鸡，柴鸡，矮脚鸡，三黄鸡，最好吃的还是三黄鸡。	我以前养的狗业余爱好是逮耗子。	有些头疼，可能是着凉了吧。
14	不要总是忙着钓帅哥可以么？	春天来的时候，山野里会开满漂亮的花儿。	我唱歌不好听，不知道姐姐唱得如何。	三黄鸡最好清炖，再沾调料，味道无比鲜美。	有时会想起我养的那条黄狗，它曾是我最好的朋友。	今生最大的遗憾就是没有学会游泳。
15	女孩家总是要打扮一下的，瞧你！	今年应该是一个好年，希望咱们国家没有灾荒。	小时候我和从宫里出来的老宫女学过跳舞，现在几乎忘记了。	我总是随身携带几根黄瓜，把它当做水果吃。	我肚子有时候会叫，他们说是里面长虫了，真恐怖！	别说你没有心上人，我可不相信！
16	每个礼拜至少要洗一次澡，否则会被鄙视的！	少林寺里的和尚都好严肃啊，是不是他们天生就不会笑呢。	我姥姥家的后院里养了许多母鸡，生的蛋可以到集市上换钱。	早上洗完脸以后，第一件事就是喝一大杯温水。	那天看到一块布料，简直太漂亮了，适合给我做裙子。	哪天咱们弄只八哥玩玩，教它学说话。
17	你有多久没修理头发了？	这几年的夏天越来越热，真有点受不了了。	又是一年了，不知道家乡的朋友怎么样了。	我最讨厌娶好几个老婆的男人了，对女人来说太不公平。	咦，这是谁掉的银两？	收集银饰是我的爱好之一。
18	不用的东西就应该卖掉，留一堆垃圾做什么？	冬天真让人心烦，也不能穿漂亮衣服。	在海上航行是什么感觉啊，我也想体会一下。	我最害怕的东西是毛毛虫。	其实牛车比马车舒服，可是为什么没人坐牛车？	刚才那个人怎么长得比牛头，马面，还可怕！
19	为什么有这么多人PK你啊？	我最爱吃的是小笼包和豆浆。	龙门镇的小吃远近闻名，我们一定要去品尝下。	我最讨厌的东西是蚊子。	就因为牛车太慢，大家才不爱坐牛车呢。	真遗憾，我没有找到以前埋在树下的东西。
20	今年流行红色，你干吗穿绿色？	我吃了杏仁豆腐，不知道它是怎么做的，哪天也要学学。	最喜欢李白的诗句，我觉得他是个懂得自由和生活的人。	我最喜欢的动物是狗。	以前在一个富人家见过种黑色皮肤的人，和碳一样黑。	今天收到了一封情书，真高兴！
21	听说金人有蓝眼的。	多吃水果有利于身体健康，还能排毒下火。	元宵节时，家家放花点灯，可热闹了。	我最爱吃的是西瓜。	我知道了，黑色皮肤的人叫昆仑奴，是专门给人干活的奴隶。	唉，我又比去年胖了好多，小肚子都出来了。
22	天天吃了睡，睡了吃，会发胖的。	每天要喝至少三大杯水，对皮肤非常有好处。	北方叫元宵，南方叫汤圆，味道虽然差不多，咬上去还是不一样。	我最烦恼的事是银袋空空。	去年夏天我差点被一个山大王抓去当压寨夫人。	从今天开始我要减肥。
23	自从和你在一起，我的人生变得没有意义。	听说云南产的绿茶特别好，哪天也要买些来品品。	蜀地的菜肴偏麻偏辣，不适合我们江南人吃。	我最高兴的事是遇到衣服店减价。	为什么我就是变不白啊，我已经用了好多珍珠粉了。	包袱里还有一块发面饼，只能就着咸菜吃了。
24	你似乎没有饭前洗手的习惯！	南方有很多水牛的，人还可以骑在它们的背上，真有意思。	金人做的烤全羊味道确实不错，就是那些羊太可怜了。	昨晚我似乎听到有狼在叫，可是睁眼却没看到半只狼。	我娘说黑的姑娘嫁不出去，我得赶紧美白了。	我唱首歌吧，别说唱得不好听哦！
25	希望你不要随便和人PK。	见到毒蛇可要躲远点，我有一次差点被毒死。	行走野外时候，要注意路边的花花草草，有很多是名贵药材。	最近我火气大，得吃点苦瓜来去去火。	在河里洗澡太危险，万一让男人看到就羞死了。	我们两个美女行走江湖，会引来不少狂蜂浪蝶吧。
26	不能欺负等级比你低很多的人。	每年我都要去五台山烧香，今年也要去的。	这两天总是做梦，梦到吃好多好多的点心。	眼睛是很重要的，如果觉得疲劳就让它休息一下。	热腾腾的包子咬上一口真香啊，唉，好久没有吃过了。	我们要小心那些不怀好意的男人。
27	最不喜欢不讲卫生的人了！	我祖上本来住在北方，后来因为金人入侵才迁移到南方。	是不是我的肠胃出了问题，这两天一直吃不下东西。	有回我喝井水中了毒，不知道是不是有人故意下药了。	哎呀，我这才想起来，我还带着自己腌的萝卜干呢。	我发现城里的男人全在注意姐姐，说明姐姐有魅力。
28	你用的是桂花油还是胭脂粉啊，真难闻。	原来我养过一条黄狗，不知道它跑哪去了，找不到啦。	南方有一种夜来香，只在晚上开花，香气四溢。	螃蟹是如此的美味，清蒸以后用姜汁沾着吃，唉，我都流口水了。	我一个礼拜才换回衣服，洗衣服实在是太累了。	我十岁时候靠卖艺维生，也到过很多地方。
29	对小动物要有爱心，知道吗。	皇帝有三宫六院，也不知道他要这么多老婆干啥。	明年要是再带不回女婿来，我娘就要给我相亲了。	菊花不仅好看，还可以入药，有清热解毒的功效。	一到下午我就想睡觉，咱们应该找个地方休息下。	当稻谷成熟时，会飘来阵阵香味，让人感觉很愉快。
30	吃素对身体好还不杀生！	有一年皇帝选秀女差点把我选了去，还好我藏在地窖里了。	下次我们到城里，可以到酒馆听听歌伎唱曲么？	冬虫夏草是一种类似虫的草药，常常用于滋补身体。	昨天我没睡好，因为晚饭没吃饱。	今天好象要下雨啊，蜻蜓飞得很低。
31	这么大的太阳晒死我了，我要休息。	姐姐为什么不嫁个有钱人呢， 这样四处奔波多辛苦啊。	我读过史记，但是不知道里面讲的事是不是真的。	燕窝的味道确实不错，但是我只吃过一回。	我觉得精力充沛，精神好。	下雨前我会腿疼是不是有风湿病了？
32	老是不下雨，要闷死人啦！	我想以后自己有个小店铺，还有个喜欢我的夫君，再生几个娃娃。	听说皇宫里的妃子都用牛奶来洗澡。	经常吃一点醋有利于身体健康，我是指调料里的醋，呵呵。	真倒霉啊，我的钱袋被人偷了。	早上我吃了两儿豆包，可是没有喝豆浆，现在觉得又饿了。
33	我刚和男朋友分手心情不好，别烦我。	我的表姐最喜欢化装了，她的胭脂水粉装满了一个柜子。	不知道叼婵是不是真有闭月休花之貌。	你看我的扇子上画着一个美丽的仕女，她是我的表姐啊。	我想买一件衣服，可是太贵了。	姐姐为什么爱吃白米粥啊。
34	你整天还挺开心的吗！	前年在山里采药时碰到一个老人家仙风道骨，瞬间就在我眼前消失了。	有回我在一个山谷里听到人吹萧，可是却找不到吹萧的人。	姐姐有玉佩么，我爹爹送给我一个翡翠的，可好看了。	我刚买了一对玉镯，真漂亮。	女孩穿衣服时要注意掩盖自己的缺点，突出自己的优点。
35	每天用盐水来漱口是非常有必要的。	有生之年也想去看一看大海，姐姐也一同去吧。	要收集一些竹子来用它蒸米饭，味道很香的。	如果有一天我也能像小鸟一样在天空中飞翔那该多好啊！	高丽人喜欢吃泡菜，还爱吃狗肉。他们住在金国北方。	年轻女孩穿衣服我认为应该忌讳黑，灰，深蓝。
36	偶尔也要喝些绿茶来清清火的。	哪天我们一起去泡温泉，可舒服啦。	鸡翅膀只有涂上蜂蜜和盐烧烤着吃，味道才能达到完美。	丰都是出名的鬼城，那里是阎王的老家。	东瀛是个小国，他们个头矮小，有时在海上会见到。	刚才我看到一个捏面人的老爷爷，他做的面人可好看了。
37	淋雨赶路对身体不好，尤其我们都是女孩子。	我从来没有喝过一滴酒，女孩家不应该沾这东西。	哪天姐姐也应该好好打扮下，我想连神仙也会心动的。	传说钟魁生前曾是一名有才的书生，高中状元后因其貌丑不得重用，最后撞柱而死。	几月前我在山里遇到只老虎，它大概是吃饱了，看也没看我一眼就走了。	我这人最怕欠别人情。
38	你从来也不吃早饭么，这样对身体不好的。	本来我不识字，前年在一个财主家当护院我和那里的公子学的识字。	要不下回我娘带我相亲时，姐姐也陪着我去吧。	玉米是一种非常好的食物，顶饱又好吃，还不会长胖。	有时间，姐姐也带我游游神州大地，顺便品尝各地美食。	笛子的音色活泼而光亮，而萧则是忧郁，暗淡。
39	日上三竿必须起床练功。	女孩家就该学学绣花什么的，可是我怎么也学不会。	昨天路过村子我捡了两个鸡蛋，不知道今天还能不能捡到。	你吃过烤野兔吗，味道真是不错！	大理国是一个美丽如画的地方，我也要去见识一下。	不知道我们老了以后是不是还能这样在江湖上冒险。
40	我这几天身体非常不舒服，不要让我打怪了。	看来我只适合做粗苯的活，绣花什么的真不适合我。	有时候我真发现自己挺笨的，看来凡事还要和姐姐学习。	南方有一种坨茶，北方有一种砖茶，味道各有不同。	沧山，洱海都是大理最出名的风景。	我的表姐曾经也是富家小姐，可是她却嫁给了一个穷书生。
41	现在中原武林各门派都在为抗金做贡献。	我没有裹小脚，也许会嫁不出去，不过我宁愿如此也不裹。	让我学技能时，一定要仔细考虑清楚，不然再遗忘就花冤枉钱了。	阮和琵琶是不同的乐器，音色也不同。	三月三是大理最热闹的集市，到时我们也去看看吧。	哎呀，我的牙疼死了，饭也吃不下去。
42	要说哪个门派的武功厉害，这还真是个问题。	呵呵，我出嫁的衣服早就做好了，就等着人来娶我呢。	战斗时一定要注意我的血量一不小心我会挂掉的。	白描是一种基本的画画方法，姐姐知道吧。	旅行虽然辛苦，可是能和姐姐做伴我就不觉得了。	人生好比一场赌局，没有绝对的输赢。
43	今天你的造型不怎么样。	人可千万不能沾上赌这玩艺，有多少家产都会败光的。	我和姐姐用的加血药是不同的，一定要记住哦。	妃子笑就是荔枝，呵呵，我看到荔枝也想笑，因为它太好吃了。	我们进城后在旅店里用香汤泡个澡吧。	火腿比腊肉好吃，尤其是用它来炖白菜。
44	知道我的梦想是什么吗，算了，说了你也不明白。	我可没有姐姐这么大的报复，我的理想只是做一个普通的女人。	虽然我们每天很忙碌可是也不要忘记按时吃饭。	上山摘野果，下河摸鱼，这都是我小时候常常干的事情。	我把各种花朵和香料混合在一起再用泉水炮制，就成了香水了。	以前我在京城见过大象，如果我能骑它四处逛逛就好了。
45	曾经吃过一回牦牛肉，咬都咬不动。	去年我差点就出嫁了，可是，那个男人后来跑了。	其实本来我可以做一个本份的女孩家，大门不出二门不迈，但是我选择了这条路。	"何以致契阔,绕臂双跳脱。这句诗说得是咱们戴的臂环。"	麝是一种类似獐子的动物，公的肚子上能散发出很好闻的味道，就是麝香了。	不知道咱们已经走了多少里地？
46	我不喜欢马，因为它们身上有跳蚤。	说起去年没有嫁出去一事，我至今还耿耿于怀。	如果有一天能有一个很大的铺子里面什么都有卖的，衣食住行全有，那该多好。	你有没有发现今年男人们都爱穿绿色的衣服？	要取麝香必须先残忍的杀害它，真可怜啊。	太阳下山时，我们可以停在山顶看一下。
47	当风吹过芦苇的时候，总让我想起往事。	红果又叫山楂，如果用冰糖来熬会非常可口的。	桑树夏天会结桑稔，很甜很好吃。	我最喜欢照镜子了，可是镜子没有水里的倒影清楚。	哎呀，有只蚊子在咬姐姐呢，打死它！	在搭配衣服时，如果对颜色搭配没把握，就选择近似的颜色来穿，或者配以白色。
48	什么时候才能看到和平时代到来！	我要让画师给我画一张肖像，留作纪念。	过年回家时，我给我嫂子带些红枣，她马上要生小宝宝了。	我吃饭时候喜欢放一点辣椒酱，胃口会特别好。	壁虎，它的样子真丑，别让我再看到它。	有时候用对比色来搭配衣服也有异想不到的效果。
49	生在这种乱世真是悲哀啊！	晚上在野外露营一定要生火，山里很冷的。	下过雨，空气总是很新鲜啊。	我最穷的时候吃了两个月的大饼，唉，只为了多买两件漂亮衣服。	如果姐姐实在喜欢骑马，我也将就着一起骑吧。	化妆能让女人更动人，美丽，姐姐可不要忽视啊！
50	每隔一个时辰我都要休息一下的。	很久没有闻过花香了，真是舒服啊，精神都放松了。	春天先开的花是迎春花，夏天最美丽的是荷花。	忽然想起了我的表哥，他最擅长吹笛子，可是他没有钱上学，在老家种田呢。	好大的一股马粪味啊，咱们的马该洗澡了哦！	相信我们未来都会很幸福的。
