talk_id	friend010	friend1019	friend1949	friend4984	friend8495	friend95100
1	男人的事女人少理！	你，还好吧！	突然发现原来你真的是很漂亮的！	咕噜~姐姐，我的肚子叫了。	离别是不是很痛苦呢？	姐姐，让我永远保护你好吗？
2	我是你的朋友，还是你的工具？	真的不适应这里的环境？	你今天起床似乎没梳头哦！	姐姐，我是不是爱上隔壁的那个女孩呢？	为什么想到离开姐姐，我的心里就很难受！	明天姐姐想去哪里呢？
3	哼！你从来都不把我当一回事！	你怎么总是那么不小心！	昨天咱们吃的包子你觉得如何呢？	姐姐，我要休息休息。	我要永远保护姐姐，不让姐姐受伤害！	姐姐的武功已经比我厉害了哦！
4	你可以不这么烦么？	别以为我会被你感动哦，我才没有呢！	昨天小强去偷瓜被抓到了！	其实姐姐还是很喜欢我的吧！	姐姐，你看那发簪好看吗？	姐姐一定要记得时时帮助穷苦人呐！
5	我开始想离开你了！	你怎么一直看着我！	那个李员外长得好象猴子哦。	呀！姐姐怎么脸红了！	山林里面有时候也存在有毒的草，要当心哦！	姐姐，我突然好想回去看看我娘亲！
6	说真的，你这样讨厌的女人我还真没见过！	其实馒头也挺好吃的呢！	为什么乌鸦会被认为是清道夫？	偷偷告诉你哦，我曾经送了隔壁的女孩一朵小花。	哇，我的鞋都磨破了，该换双新的了！	不知道我家隔壁的女孩嫁人了没！
7	别以为长得漂亮，就可以那么霸道！	我告诉你，其实你人并不坏的！	天上是否真的有仙人居住呢？	小王的奶奶很可怜的，眼睛都看不见了呢！	今天突然很想吃辣的东西！	姐姐，你知道恋爱是什么滋味吗？
8	我告诉你，我生气了！	我不怎么会表达，有时候你别介意！	自从我八岁的时候，爹爹就开始教我武功了。	姐姐，你很喜欢唱歌吗？	等咱们抓到土匪，就发财了！	我们似乎都知道彼此在想什么？
9	天啊！你这人怎么这么烦呀！	山上的猴子太调皮了，它们还抢了爷爷的帽子，不知道会不会抢你的肚兜呢？	阿奇真是胆小鬼，连只老鼠都能把他吓出病来！	姐姐如果不努力，就很容易被人欺负哦。	姐姐今天好漂亮呀，要去见心上人吗？	我那天看到一个漂亮的耳坠哦，很适合姐姐戴！
10	哼！有些人脸皮还真的比墙壁厚！	如果能好好的吃一顿，再安心的睡一觉该多好呀。	我也很想念我的家乡！	夏天的夜晚能在河里洗澡真是美妙啊！	中秋节在不同的地方，有不同的过法哦！	看过大海后，我知道人们为什么发誓要用海枯石烂了！
