µÀ¾ßÃû³Æ	µÀ¾ßÆ·ÖÊ	µÀ¾ßID	µÀ¾ßÖÖÀà	¾ßÌåÀà±ð	ÏêÏ¸Àà±ð	°×½ðµÈ¼¶	µÈ¼¶	Ä§·¨ÊôÐÔID1	²ÎÊý1	Ä§·¨1ÆðÊ¼Öµ1	Ä§·¨1½áÊøÖµ1	Ä§·¨1¼ÛÖµ1	Ä§·¨1ÆðÊ¼Öµ2	Ä§·¨1½áÊøÖµ2	Ä§·¨1¼ÛÖµ2	 Ä§·¨1ÆðÊ¼Öµ3 	 Ä§·¨1½áÊøÖµ3 	Ä§·¨1¼ÛÖµ3	 Ä§·¨1ÆðÊ¼Öµ4 	 Ä§·¨1½áÊøÖµ4 	Ä§·¨1¼ÛÖµ4	 Ä§·¨1ÆðÊ¼Öµ5	 Ä§·¨1½áÊøÖµ5	Ä§·¨1¼ÛÖµ5	Ä§·¨ÊôÐÔID2	²ÎÊý2	Ä§·¨2ÆðÊ¼Öµ1	Ä§·¨2½áÊøÖµ1	Ä§·¨2¼ÛÖµ1	Ä§·¨2ÆðÊ¼Öµ2	Ä§·¨2½áÊøÖµ2	Ä§·¨2¼ÛÖµ2	 Ä§·¨2ÆðÊ¼Öµ3 	 Ä§·¨2½áÊøÖµ3 	Ä§·¨2¼ÛÖµ3	Ä§·¨2ÆðÊ¼Öµ4	Ä§·¨2½áÊøÖµ4	Ä§·¨2¼ÛÖµ4	 Ä§·¨2ÆðÊ¼Öµ5	 Ä§·¨2½áÊøÖµ5	Ä§·¨2¼ÛÖµ5	Ä§·¨ÊôÐÔID3	²ÎÊý3	Ä§·¨3ÆðÊ¼Öµ1	Ä§·¨3½áÊøÖµ1	Ä§·¨3¼ÛÖµ1	Ä§·¨3ÆðÊ¼Öµ2	Ä§·¨3½áÊøÖµ2	Ä§·¨3¼ÛÖµ2	Ä§·¨3ÆðÊ¼Öµ3	Ä§·¨3½áÊøÖµ3	Ä§·¨3¼ÛÖµ3	Ä§·¨3ÆðÊ¼Öµ4	Ä§·¨3½áÊøÖµ4	Ä§·¨3¼ÛÖµ4	 Ä§·¨3ÆðÊ¼Öµ5	 Ä§·¨3½áÊøÖµ5	Ä§·¨3¼ÛÖµ5	Ä§·¨ÊôÐÔID4	²ÎÊý4	Ä§·¨4ÆðÊ¼Öµ1	Ä§·¨4½áÊøÖµ1	Ä§·¨4¼ÛÖµ1	Ä§·¨4ÆðÊ¼Öµ2	Ä§·¨4½áÊøÖµ2	Ä§·¨4¼ÛÖµ2	Ä§·¨4ÆðÊ¼Öµ3	Ä§·¨4½áÊøÖµ3	Ä§·¨4¼ÛÖµ3	Ä§·¨4ÆðÊ¼Öµ4	Ä§·¨4½áÊøÖµ4	Ä§·¨4¼ÛÖµ4	 Ä§·¨4ÆðÊ¼Öµ5	 Ä§·¨4½áÊøÖµ5	Ä§·¨4¼ÛÖµ5	±£µ×	11
Méng Long ChÝnh Hång T¨ng M·o	1	1	-1	-1	-1	-1	10	139	273	1	1	0	2	2	42	3	3	104	-1	-1	-1	-1	-1	-1	102	-1	25	26	0	27	28	21	29	29	42	30	30	83	-1	-1	-1	139	271	1	1	0	2	2	21	3	3	63	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	15000
Méng Long Kim Ti ChÝnh Hång Cµ Sa	1	2	-1	-1	-1	-1	10	139	318	1	1	0	2	2	73	3	3	183	-1	-1	-1	-1	-1	-1	113	-1	40	46	0	47	53	37	54	59	73	60	60	147	-1	-1	-1	139	8	1	1	0	2	2	37	3	3	110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	4167
Méng Long HuyÒn Ti Ph¸t ®¸i	1	3	-1	-1	-1	-1	10	139	14	1	1	0	2	2	21	3	3	52	-1	-1	-1	-1	-1	-1	102	-1	25	26	0	27	28	10	29	29	21	30	30	42	-1	-1	-1	106	-1	40	44	0	45	49	10	50	50	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	16667
Méng Long PhËt Ph¸p HuyÒn Béi	1	4	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
Méng Long Tö Kim B¸t Nh·Giíi	1	5	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
Phôc Ma Tö Kim C«n	1	6	-1	-1	-1	-1	10	115	-1	20	24	0	25	29	25	30	34	50	35	39	75	40	40	125	139	273	1	1	0	2	2	50	3	3	100	-1	-1	-1	-1	-1	-1	121	-1	50	54	0	55	59	25	60	60	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	4167
Phôc Ma V« L­îng Kim C­¬ng UyÓn	1	7	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
Phôc Ma ¤ Kim NhuyÔn §iÒu	1	8	-1	-1	-1	-1	10	139	10	1	1	0	2	2	101	3	3	202	-1	-1	-1	-1	-1	-1	106	-1	40	44	0	45	49	51	50	50	152	-1	-1	-1	-1	-1	-1	110	-1	30	39	0	40	40	101	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	2250
Phôc Ma PhËt T©m NhuyÔn KhÊu	1	9	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	83333
Phôc Ma Phæ §é T¨ng hµi	1	10	-1	-1	-1	-1	10	139	319	1	1	0	2	2	73	3	3	182	-1	-1	-1	-1	-1	-1	111	-1	40	46	0	47	53	36	54	59	73	60	60	145	-1	-1	-1	103	-1	25	29	0	30	30	73	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	83333
Tø Kh«ng Gi¸ng Ma Giíi ®ao	1	11	-1	-1	-1	-1	10	115	-1	20	24	0	25	29	37	30	34	73	35	39	110	40	40	183	139	273	1	1	0	2	2	73	3	3	147	-1	-1	-1	-1	-1	-1	121	-1	50	54	0	55	59	37	60	60	110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	4167
Tø Kh«ng §¹t Ma T¨ng Hµi	1	12	-1	-1	-1	-1	10	111	-1	50	59	-35	40	49	-100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
Tø Kh«ng Hé ph¸p Yªu ®¸i	1	13	-1	-1	-1	-1	10	139	10	1	1	0	2	2	10	3	3	19	-1	-1	-1	-1	-1	-1	102	-1	25	26	0	27	29	5	30	30	14	-1	-1	-1	-1	-1	-1	106	-1	40	49	0	50	50	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	26250
Tø Kh«ng NhuyÔn B× Hé UyÓn	1	14	-1	-1	-1	-1	10	139	321	1	1	0	2	2	512	3	3	1281	-1	-1	-1	-1	-1	-1	102	-1	25	26	0	27	28	256	29	29	512	30	30	1025	-1	-1	-1	139	19	1	1	0	2	2	256	3	3	769	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	26250
Tø Kh«ng Giíi LuËt Ph¸p giíi	1	15	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy	1	16	-1	-1	-1	-1	10	58	-1	1	1	0	2	2	125	-1	-1	-1	-1	-1	-1	-1	-1	-1	121	-1	30	37	0	38	43	25	44	49	50	50	50	100	-1	-1	-1	123	-1	80	99	0	100	119	25	120	120	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	7500
H¸m Thiªn Vò ThÇn T­¬ng Kim Gi¸p	1	17	-1	-1	-1	-1	10	113	-1	0	50	-70	53	58	-50	-1	-1	-1	-1	-1	-1	-1	-1	-1	139	325	1	2	-100	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	113	-1	51	52	-67	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
H¸m Thiªn Uy Vò Thóc yªu ®¸i	1	18	-1	-1	-1	-1	10	102	-1	28	29	0	30	30	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
H¸m Thiªn Hæ ®Çu KhÈn Thóc UyÓn	1	19	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	18750
H¸m Thiªn Thõa Long ChiÕn Ngoa	1	20	-1	-1	-1	-1	10	111	-1	40	44	0	45	49	54	50	54	108	55	59	163	60	60	271	139	31	1	1	0	2	2	108	3	3	217	-1	-1	-1	-1	-1	-1	103	-1	30	31	0	32	34	54	35	35	163	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	2500
KÕ NghiÖp B«n L«i Toµn Long th­¬ng	1	21	-1	-1	-1	-1	10	123	-1	80	89	0	90	99	177	100	109	354	110	119	531	120	120	884	121	-1	30	37	0	38	43	177	44	49	354	50	50	707	-1	-1	-1	126	-1	50	74	0	75	99	177	100	100	531	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1125
KÕ NghiÖp HuyÒn Vò Hoµng Kim Kh¶i	1	22	-1	-1	-1	-1	10	113	-1	40	44	0	45	49	75	50	54	150	55	59	225	60	60	375	139	23	1	1	0	2	2	150	3	3	300	-1	-1	-1	-1	-1	-1	102	-1	20	22	0	23	24	75	25	25	225	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	3333
KÕ NghiÖp B¹ch Hæ V« Song khÊu	1	23	-1	-1	-1	-1	10	139	30	1	1	0	2	2	224	3	3	448	-1	-1	-1	-1	-1	-1	139	36	1	1	0	2	2	224	3	3	448	-1	-1	-1	-1	-1	-1	106	-1	40	44	0	45	49	112	50	50	336	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1875
KÕ NghiÖp HáaV©n Kú L©n Thñ 	1	24	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
KÕ NghiÖp Chu T­íc L¨ng V©n Ngoa	1	25	-1	-1	-1	-1	10	111	-1	50	59	-50	0	49	-60	-1	-1	-1	-1	-1	-1	-1	-1	-1	139	323	1	2	-100	3	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	220	-1	0	49	-7	50	50	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
