STT	§¸p ¸n	C©u hái	A	B	C	D	
1	A	Vâ L©m TruyÒn Kú ra m¾t hÖ thèng bang héi thêi gian nµo?	21-01-2008	18-01-2008	15-02-2008	19-02-2008	
2	B	MËt TŞch nµo gióp ta t¨ng ®iÔm tiÒm n¨ng?	Vâ L©m MËt TŞch	TÈy Tñy Kinh	Bµn Nh­îc T©m Kinh	ThiÕt La H¸n	
3	B	Tö Thñy Tinh cã chøc n¨ng g×?	Ma thuËt trang bŞ	N©ng cÊp trang bŞ	§æi hÖ trang bŞ	Kh«ng cã chøc n¨ng g×	
4	D	Ngùa Hoa L­ [CÊp 9] ®­îc b¸n ë thµnh nµo?	T­¬ng D­¬ng	Phù¬ng T­êng 	Thµnh §«	D­¬ng Ch©u	
5	C	Khi rót 10 ®iÓm phóc duyªn ë thÇn bİ th­¬ng nh©n, nh©n vËt sÏ bŞ trõ bao nhiªu ®iÓm phóc duyªn trªn ng­êi?	10	8	12	15	
6	D	Ngùa nµo sau ®©y cã "Tèc®é di chuyÔn 40%"?	LiÖt B¹ch M·	B¹ch M·	¤ Chïy	Ngäc Hoa Th«ng	
7	B	Sau khi online mÊy giê míi nhËn ®­îc ®iÓm phóc duyªn?	1g	2g	3g	4g	
8	C	Mét Ngµy cã thÓ ®¸nh mÊy trËn mÊy trËn tèng kim?	5	6	7	8	
9	C	M¶nh tµng b¶o ®å cã bao nhiªu m¶nh?	9	16	12	13	
10	B	Giai §äan b¸o danh d¸nh L«i §µi Tû Vâ tèn bao l©u	3 phót	5 phót	2 phót	7 phót	
11	B	Mét trËn ®¸nh L«i §µi Tû Vâ tèn bao l©u?	5p	10p	15p	20p	
12	D	Sinh nhËt vâ l©m vµo ngµy mÊy th¸ng mÊy	15-7	24-12	14-6	6-Nov	
13	C	Cã bao nhiªu tr­êng ph¸i vÒ kiÕm trong vâ l©m?	1	2	3	4	
14	C	NhiÖm vô Boss S¸t thñ "Liªn H×nh Th¸i" n»m ë map nµo?	Kháa Lang §éng	Tr­êng B¹ch B¾c 	Tr­êng B¹ch Nam	TiÕn Cóc §éng	
15	C	Muèn hîp thµnh s¸t thñ gi¶n tèn bao nhiªu s¸t thñ lÖnh?	7	4	5	9	
16	B	Mét ngµy b¹n cã thÓ tham gia bao nhiªu lÇn "thö luyÖn s¸t thñ"?	5	2	3	4	
17	D	Tõ §¹i Lı b¹n cã thÓ ®i vµo n¬i tİn sø nµo?	S¬n ThÇn MiÕu	Phong K×	Më B¶o R­¬ng	C¶ 3 n¬i	
18	D	Cã mÊy thµnh cã thÓ di thuyÒn tíi "§µo Hoa §¶o"?	4	5	6	7	
19	C	"Tam Hoa T¸n" cã t¸c dông g× 	T¨ng sinh lùc	T¨ng néi lùc	T¨ng thÓ lùc	Gi¶i ®éc	
20	D	"Thõa Tiªn MËt" cã t¸c dông g×?	T¨ng sinh lùc	T¨ng néi lùc	T¨ng thÓ lùc	T¨ng sinh lùc vµ néi lùc	
21	A	Cã bao nhiªu läai d­îc hßan PK?	10	8	6	3	
22	B	Long M«n TrÊn l­u r­¬ng ë thµnh nµo?	§¹i lı	BiÖn Kinh	T­¬ng D­¬ng	Thµnh §«	
23	D	§i xa phu tõ VÜnh L¹c TrÊn Lªn Ph­îng T­êng tèn nhiªu l­îng?	500	300	200	100	
