EqName	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	NormalWalk	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	NormalRun	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	MeleeWDie	DoubleWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2	ChangeColor
空手																																																	
单手剑1																																																	
单手剑2																																																	
单手剑3																																																	
单手刀1																																																	
单手刀2																																																	
单手刀3																																																	
长枪类1																																																	
长枪类2																																																	
长枪类3																																																	
长棍类1																																																	
长棍类2																																																	
长棍类3																																																	
双剑类1																																																	
双剑类2																																																	
双剑类3																																																	
双锤类1																																																	
双锤类2																																																	
双锤类3																																																	
暗器																																																	
单手剑4																																																	
单手剑5																																																	
单手刀4																																																	
单手刀5																																																	
长枪类4																																																	
长枪类5																																																	
长棍类4																																																	
长棍类5																																																	
双剑类4																																																	
双剑类5																																																	
双锤类4																																																	
双锤类5																																																	
单手刀6(金系)																																																	
单手刀7(水系)																																																	
单手刀8(木系)																																																	
单手刀9(土系)																																																	
单手剑6(水系)																																																	
单手剑7(土系)																																																	
长枪类6(金系)																																																	
长枪类7(火系)																																																	
长棍类6(金系)																																																	
长棍类7(火系)																																																	
双剑类6(水系)																																																	
双锤类6(金系)																																																	
双缠手-金	FM_LF_001_ST01.spr	FM_LF_001_ST02.spr	FM_LF_001_ST03.spr	FM_LF_000_ST04.spr	FM_LF_000_ST05.spr	FM_LF_000_ST06.spr	FM_LF_001_WK01.spr	FM_LF_001_WK01.spr	FM_LF_000_WK02.spr	FM_LF_000_WK03.spr	FM_LF_000_WK04.spr	FM_LF_001_RN01.spr	FM_LF_001_RN01.spr	FM_LF_000_RN02.spr	FM_LF_000_RN03.spr	FM_LF_000_RN04.spr	FM_LF_001_IJ01.spr	FM_LF_000_IJ02.spr	FM_LF_000_IJ03.spr	FM_LF_000_IJ04.spr	FM_LF_001_DE01.spr	FM_LF_000_DE02.spr	FM_LF_000_DE03.spr	FM_LF_000_DE04.spr	FM_LF_001_AT01.spr	FM_LF_000_AT02.spr	FM_LF_000_AT03.spr	FM_LF_000_AT04.spr	FM_LF_000_AT05.spr	FM_LF_000_AT06.spr	FM_LF_000_AT07.spr	FM_LF_001_MG01.spr	FM_LF_001_MG02.spr	FM_LF_000_MG03.spr	FM_LF_000_MG04.spr	FM_LF_000_MG05.spr	FM_LF_001_ZZ01.spr	FM_LF_001_JP01.spr	FM_LF_008_RD01.spr	FM_LF_008_HW01.spr	FM_LF_008_HR01.spr	FM_LF_008_HA01.spr	FM_LF_008_HA02.spr	FM_LF_008_HM01.spr	FM_LF_008_HI01.spr	FM_LF_008_HD01.spr	FM_LF_008_RD01.spr	FM_LF_008_RD01.spr	0x808000
