AttributeType	Value1	Value2	Value3	Comment
166	1500	-1	-1	Ôö¼ÓÃüÖĞ
166	2000	-1	-1	Ôö¼ÓÃüÖĞ
166	2500	-1	-1	Ôö¼ÓÃüÖĞ
85	800	-1	-1	Ôö¼ÓÉúÃü
85	1200	-1	-1	Ôö¼ÓÉúÃü
85	1500	-1	-1	Ôö¼ÓÉúÃü
85	2000	-1	-1	Ôö¼ÓÉúÃü
86	20	-1	-1	Ôö¼ÓÉúÃü°Ù·Ö±È
86	30	-1	-1	Ôö¼ÓÉúÃü°Ù·Ö±È
86	40	-1	-1	Ôö¼ÓÉúÃü°Ù·Ö±È
169	400	-1	-1	Ôö¼ÓÄÚ±ùÉËº¦
169	800	-1	-1	Ôö¼ÓÄÚ±ùÉËº¦
169	1200	-1	-1	Ôö¼ÓÄÚ±ùÉËº¦
170	200	-1	-1	Ôö¼ÓÄÚ»ğÉËº¦
170	300	-1	-1	Ôö¼ÓÄÚ»ğÉËº¦
170	400	-1	-1	Ôö¼ÓÄÚ»ğÉËº¦
171	200	-1	-1	Ôö¼ÓÄÚÀ×ÉËº¦
171	300	-1	-1	Ôö¼ÓÄÚÀ×ÉËº¦
171	400	-1	-1	Ôö¼ÓÄÚÀ×ÉËº¦
121	10	-1	-1	Ôö¼ÓÍâÆÕµã
121	20	-1	-1	Ôö¼ÓÍâÆÕµã
121	30	-1	-1	Ôö¼ÓÍâÆÕµã
65	30	-1	-1	Ôö¼ÓÍâÆÕ±È
65	40	-1	-1	Ôö¼ÓÍâÆÕ±È
65	50	-1	-1	Ôö¼ÓÍâÆÕ±È
171	70	-1	-1	Ôö¼ÓÄÚÀ×ÉËº¦
171	120	-1	-1	Ôö¼ÓÄÚÀ×ÉËº¦
171	150	-1	-1	Ôö¼ÓÄÚÀ×ÉËº¦
171	250	-1	-1	Ôö¼ÓÄÚÀ×ÉËº¦
170	50	-1	-1	Ôö¼ÓÄÚ»ğÉËº¦
170	70	-1	-1	Ôö¼ÓÄÚ»ğÉËº¦
170	100	-1	-1	Ôö¼ÓÄÚ»ğÉËº¦
170	120	-1	-1	Ôö¼ÓÄÚ»ğÉËº¦
170	150	-1	-1	Ôö¼ÓÄÚ»ğÉËº¦
170	250	-1	-1	Ôö¼ÓÄÚ»ğÉËº¦
169	70	-1	-1	Ôö¼ÓÄÚ±ùÉËº¦
169	120	-1	-1	Ôö¼ÓÄÚ±ùÉËº¦
169	150	-1	-1	Ôö¼ÓÄÚ±ùÉËº¦
169	250	-1	-1	Ôö¼ÓÄÚ±ùÉËº¦
172	10	-1	-1	Ôö¼ÓÄÚ¶¾ÉËº¦
172	20	-1	-1	Ôö¼ÓÄÚ¶¾ÉËº¦
172	30	-1	-1	Ôö¼ÓÄÚ¶¾ÉËº¦
172	40	-1	-1	Ôö¼ÓÄÚ¶¾ÉËº¦
167	300	-1	-1	Ôö¼ÓÃüÖĞ°Ù·Ö±È
167	400	-1	-1	Ôö¼ÓÃüÖĞ°Ù·Ö±È
167	500	-1	-1	Ôö¼ÓÃüÖĞ°Ù·Ö±È
89	800	-1	-1	Ôö¼ÓÄÚÁ¦µã
89	1200	-1	-1	Ôö¼ÓÄÚÁ¦µã
89	1500	-1	-1	Ôö¼ÓÄÚÁ¦µã
139	1	-1	359	Thiªn H¹ V« CÈu 
139	2	-1	359	Thiªn H¹ V« CÈu 
139	3	-1	359	Thiªn H¹ V« CÈu 
139	1	-1	357	Phi Long T¹i Thiªn 
139	2	-1	357	Phi Long T¹i Thiªn 
139	3	-1	357	Phi Long T¹i Thiªn 
139	1	-1	375	L«i ®éng Cöu Thiªn 
139	2	-1	375	L«i ®éng Cöu Thiªn 
139	3	-1	375	L«i ®éng Cöu Thiªn 
139	1	-1	372	Ng¹o TuyÕt Tiªu Phong 
139	2	-1	372	Ng¹o TuyÕt Tiªu Phong 
139	3	-1	372	Ng¹o TuyÕt Tiªu Phong 
139	1	-1	339	NhiÕp Hån NguyÖt ¶nh
139	2	-1	339	NhiÕp Hån NguyÖt ¶nh
139	3	-1	339	NhiÕp Hån NguyÖt ¶nh
139	1	-1	342	Cöu Cung Phi Tinh
139	2	-1	342	Cöu Cung Phi Tinh
139	3	-1	342	Cöu Cung Phi Tinh
139	1	-1	302	B¹o Vò Lª Hoa
139	2	-1	302	B¹o Vò Lª Hoa
139	3	-1	302	B¹o Vò Lª Hoa
139	1	-1	328	Tam Nga TÒ TuyÕt 
139	2	-1	328	Tam Nga TÒ TuyÕt 
139	3	-1	328	Tam Nga TÒ TuyÕt 
139	1	-1	380	Phong S­¬ng To¸i ¶nh 
139	2	-1	380	Phong S­¬ng To¸i ¶nh 
139	3	-1	380	Phong S­¬ng To¸i ¶nh 
139	1	-1	355	HuyÒn ¢m Tr¶m 
139	2	-1	355	HuyÒn ¢m Tr¶m 
139	3	-1	355	HuyÒn ¢m Tr¶m 
139	1	-1	353	¢m Phong Thùc Cèt 
139	2	-1	353	¢m Phong Thùc Cèt 
139	3	-1	353	¢m Phong Thùc Cèt 
139	1	-1	361	V©n Long Kİch
139	2	-1	361	V©n Long Kİch
139	3	-1	361	V©n Long Kİch
139	1	-1	362	Thiªn Ngo¹i L­u Tinh
139	2	-1	362	Thiªn Ngo¹i L­u Tinh
139	3	-1	362	Thiªn Ngo¹i L­u Tinh
139	1	-1	325	Truy Phong QuyÕt 
139	2	-1	325	Truy Phong QuyÕt 
139	3	-1	325	Truy Phong QuyÕt 
139	1	-1	323	Truy Tinh Trôc NguyÖt 
139	2	-1	323	Truy Tinh Trôc NguyÖt 
139	3	-1	323	Truy Tinh Trôc NguyÖt 
