map_ID	nPosX	nPosY
321	1311	2426
321	1317	2423
321	1322	2429
321	1316	2433
321	1308	2433
321	1312	2440
321	1322	2437
321	1317	2445
321	1305	2441
321	1308	2448
321	1313	2452
321	1324	2446
321	1320	2454
321	1297	2439
321	1299	2447
321	1305	2456
321	1310	2460
321	1316	2461
321	1327	2456
321	1323	2464
321	1317	2472
321	1309	2470
321	1301	2464
321	1293	2453
321	1331	2446
321	1334	2456
321	1331	2467
321	1326	2475
321	1319	2481
321	1311	2481
321	1302	2475
321	1293	2463
321	1337	2447
321	1334	2437
321	1331	2426
321	1340	2453
321	1338	2460
321	1338	2471
321	1332	2477
321	1326	2484
321	1315	2489
321	1304	2483
321	1308	2490
321	1294	2470
321	1320	2489
321	1332	2487
321	1326	2494
321	1339	2439
321	1343	2443
321	1344	2464
321	1365	2341
321	1365	2349
321	1364	2356
321	1365	2366
321	1365	2376
321	1362	2393
321	1362	2402
321	1362	2411
321	1362	2425
321	1362	2440
321	1372	2441
321	1372	2428
321	1372	2411
321	1372	2403
321	1375	2384
321	1375	2368
321	1375	2351
321	1375	2337
321	1386	2334
321	1387	2350
321	1386	2358
321	1386	2373
321	1388	2386
321	1388	2398
321	1388	2404
321	1392	2420
321	1392	2430
321	1398	2431
321	1407	2432
321	1406	2416
321	1406	2401
321	1406	2384
321	1406	2370
321	1406	2355
321	1406	2341
321	1416	2338
321	1427	2335
321	1427	2350
321	1427	2361
321	1427	2373
321	1427	2384
321	1427	2391
321	1427	2402
321	1427	2408
321	1427	2415
321	1427	2427
321	1427	2434
321	1426	2446
321	1426	2452
321	1426	2465
