map_ID	nPosX	nPosY
340	1859	2761
340	1852	2749
340	1842	2742
340	1836	2746
340	1843	2755
340	1835	2757
340	1850	2760
340	1853	2771
340	1842	2768
340	1829	2766
340	1834	2779
340	1844	2779
340	1851	2785
340	1860	2779
340	1858	2791
340	1847	2796
340	1837	2793
340	1827	2784
340	1820	2772
340	1818	2757
340	1829	2799
340	1840	2807
340	1851	2817
340	1839	2823
340	1825	2827
340	1818	2806
340	1814	2822
340	1812	2785
340	1808	2762
340	1817	2837
340	1833	2839
340	1823	2849
340	1849	2832
340	1858	2825
340	1856	2844
340	1844	2853
340	1830	2856
340	1813	2850
340	1822	2815
340	1812	2769
340	1837	2848
340	1842	2835
340	1848	2805
340	1834	2767
340	1847	2842
340	1824	2837
340	1819	2785
340	1828	2751
340	1818	2824
340	1833	2803
340	1786	2826
340	1786	2830
340	1786	2834
340	1785	2841
340	1785	2847
340	1784	2854
340	1783	2860
340	1785	2867
340	1789	2872
340	1792	2875
340	1792	2865
340	1792	2854
340	1792	2846
340	1793	2835
340	1794	2825
340	1792	2815
340	1799	2814
340	1800	2823
340	1800	2832
340	1800	2842
340	1802	2852
340	1801	2862
340	1801	2873
340	1801	2883
340	1807	2885
340	1808	2875
340	1808	2865
340	1809	2855
340	1809	2840
340	1808	2826
340	1808	2813
340	1818	2825
340	1820	2834
340	1820	2846
340	1819	2852
340	1819	2864
340	1818	2876
340	1817	2888
340	1820	2898
340	1830	2895
340	1825	2871
340	1826	2862
340	1830	2864
340	1830	2853
340	1830	2844
340	1830	2835
340	1829	2827
340	1829	2818
340	1835	2819
340	1840	2820
