map_ID	nPosX	nPosY
11	3316	4941
11	3311	4938
11	3309	4930
11	3314	4930
11	3320	4933
11	3325	4939
11	3330	4935
11	3331	4942
11	3335	4944
11	3340	4947
11	3347	4950
11	3349	4957
11	3356	4953
11	3351	4936
11	3346	4928
11	3352	4923
11	3355	4913
11	3355	4902
11	3356	4892
11	3363	4889
11	3370	4895
11	3369	4909
11	3365	4910
11	3348	4876
11	3341	4879
11	3341	4872
11	3334	4868
11	3332	4876
11	3324	4865
11	3324	4876
11	3306	4875
11	3309	4860
11	3312	4850
11	3306	4842
11	3300	4852
11	3299	4865
11	3290	4860
11	3288	4868
11	3280	4864
11	3284	4856
11	3272	4852
11	3267	4862
11	3263	4847
11	3265	4839
11	3290	4803
11	3302	4802
11	3308	4800
11	3309	4787
11	3306	4776
11	3299	4813
