map_ID	nPosX	nPosY
336	1370	3102
336	1375	3092
336	1381	3095
336	1383	3084
336	1387	3092
336	1386	3103
336	1381	3114
336	1372	3112
336	1392	3103
336	1401	3107
336	1402	3118
336	1408	3115
336	1407	3097
336	1389	3118
336	1376	3121
336	1382	3128
336	1391	3129
336	1408	3127
336	1397	3136
336	1407	3140
336	1402	3148
336	1408	3149
336	1414	3152
336	1421	3142
336	1419	3127
336	1416	3114
336	1418	3100
336	1424	3116
336	1426	3127
336	1428	3137
336	1424	3152
336	1434	3122
336	1424	3100
336	1414	3088
336	1421	3087
336	1435	3132
336	1383	3138
336	1389	3079
336	1416	3076
336	1409	3075
336	1401	3075
336	1420	3106
336	1401	3126
336	1395	3076
336	1423	3076
336	1421	3133
336	1395	3143
336	1376	3102
336	1399	3095
336	1406	3084
336	1436	2984
336	1436	2990
336	1436	2998
336	1435	3011
336	1434	3024
336	1434	3038
336	1433	3051
336	1433	3064
336	1432	3071
336	1432	3079
336	1435	3096
336	1448	3104
336	1447	3111
336	1445	3119
336	1446	3126
336	1446	3134
336	1463	3138
336	1475	3140
336	1479	3130
336	1476	3119
336	1475	3108
336	1472	3093
336	1471	3088
336	1469	3070
336	1468	3052
336	1467	3042
336	1468	3032
336	1468	3013
336	1476	2998
336	1487	3000
336	1492	3001
336	1496	3016
336	1495	3023
336	1493	3035
336	1492	3041
336	1490	3054
336	1489	3061
336	1493	3073
336	1493	3081
336	1493	3088
336	1486	3097
336	1486	3103
336	1486	3112
336	1486	3120
336	1486	3129
336	1497	3138
336	1503	3139
336	1512	3140
336	1521	3136
336	1522	3124
