Í·¿ø±àºÅ	²¿¼þ±àºÅ
1	20
2	2
3	2
4	2
5	2
6	3
7	3
8	3
9	4
10	4
11	4
12	5
13	5
14	5
15	5
16	6
17	6
18	6
19	7
20	7
21	7
22	8
23	8
24	8
25	8
26	9
27	9
28	9
29	10
30	10
31	10
32	11
33	11
34	11
35	11
36	12
37	12
38	12
39	13
40	13
41	13
42	14
43	14
44	14
45	14
46	15
47	15
48	15
49	16
50	16
51	16
52	17
53	17
54	17
55	17
56	18
57	18
58	18
59	19
60	19
61	19
62	20
63	20
64	20
65	20
66	21
67	21
68	21
69	22
70	22
71	22
72	2
73	2
74	2
75	2
76	3
77	3
78	3
79	4
80	4
81	4
82	5
83	5
84	5
85	5
86	6
87	6
88	6
89	7
90	7
91	7
92	8
93	8
94	8
95	8
96	9
97	9
98	9
99	10
100	10
101	10
102	11
103	11
104	11
105	11
106	12
107	12
108	12
109	13
110	13
111	13
112	14
113	14
114	14
115	14
116	15
117	15
118	15
119	16
120	16
121	16
122	17
123	17
124	17
125	17
126	18
127	18
128	18
129	19
130	19
131	19
132	20
133	20
134	20
135	20
136	21
137	21
138	21
139	22
140	22
141	22
