TaskName	Rate10	Rate20	Rate30	Rate40	Rate50	Rate60	Rate70	Rate80	Rate90	Rate100
Tªn nhiÖm vô 	cÊp ®é 10	cÊp ®é 20	cÊp ®é 30	cÊp ®é 40	cÊp ®é 50	 cÊp ®é 60	cÊp ®é 70	cÊp ®é 80	cÊp ®é 90	cÊp ®é 100
NgÉu nhiªn_S¸t qu¸i_TÈu Th¹ch	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_Phi Sa	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_M¹c TÆc	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_Sa §¹o	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_§ao Tr¶m (Tr­êng B¹ch b¾c) 	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_ L¹c Quang (Tr­êng B¹ch b¾c) 	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_ Hµn Th­¬ng (Tr­êng B¹ch b¾c) 	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_§o¹t Ph¸ch (Tr­êng B¹ch b¾c) 	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_ S¶n Vò 	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_ Gi¸ng Chïy 	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_ L·nh §ao 	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_ S­¬ng §ao 	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_ tÇng 3 Sa M¹c_ TËt Vò 	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_ tÇng 3 Sa M¹c_ TËt Viªm	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_tÇng 3 Sa M¹c_ TËt Vò 	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_tÇng 3 Sa M¹c_ TËt Phong	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_tÇng 3 Sa M¹c_ TËt §iÖn	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_tÇng 2 Sa M¹c_ L­u V©n	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_tÇng 2 Sa M¹c_ L­u Quang	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_tÇng 2 Sa M¹c_ L­u Phong	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_tÇng 4 D­îc V­¬ng_ KÕ Chñy	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_tÇng 4 D­îc V­¬ng_ Xuyªn s¬n 	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_tÇng 4 D­îc V­¬ng_ §ao Kh¸ch	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_H¾c C©n (Kho¶ Lang ®éng) 	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_ Lang Bæng (Kho¶ Lang ®éng) 	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_¶nh C«n (Kho¶ Lang ®éng) 	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_§ao Kh¸ch (TiÕn Cóc ®éng) 	0	0	0	0	0	0	0	0	0	0
NgÉu nhiªn_S¸t qu¸i_§o¹t MÖnh Liªm (TiÕn Cóc ®éng) 	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_ B¸o §èm (TiÕn Cóc ®éng) 	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_Voi (C¸n Viªn ®éng) 	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_Voi Hoµng Hµ (C¸n Viªn ®éng) 	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
NgÉu nhiªn_S¸t qu¸i_Nh·n KÝnh Xµ (C¸n Viªn ®éng) 	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
