nPosX	nPosY	map_ID
1434	3149	78
1437	3145	78
1442	3139	78
1445	3127	78
1448	3122	78
1455	3113	78
1464	3117	78
1438	3121	78
1431	3128	78
1425	3135	78
1431	3140	78
1420	3149	78
1419	3160	78
1413	3138	78
1417	3129	78
1424	3113	78
1431	3106	78
1424	3103	78
1429	3096	78
1428	3089	78
1435	3087	78
1438	3079	78
1433	3075	78
1427	3069	78
1440	3062	78
1439	3051	78
1432	3047	78
1433	3038	78
1425	3027	78
1418	3037	78
1410	3033	78
1389	3128	78
1384	3125	78
1384	3136	78
1384	3149	78
1376	3152	78
1376	3145	78
1376	3131	78
1370	3145	78
1366	3156	78
1362	3146	78
1359	3133	78
1353	3140	78
1352	3153	78
1347	3160	78
1345	3147	78
1352	3117	78
1346	3106	78
1353	3098	78
1366	3095	78
1421	3313	78
1424	3317	78
1417	3320	78
1423	3326	78
1416	3328	78
1418	3337	78
1411	3336	78
1413	3345	78
1404	3340	78
1406	3349	78
1407	3359	78
1400	3351	78
1398	3339	78
1394	3357	78
1398	3358	78
1400	3366	78
1403	3377	78
1392	3372	78
1389	3383	78
1398	3384	78
1383	3393	78
1371	3391	78
1377	3400	78
1380	3407	78
1372	3411	78
1368	3399	78
1360	3407	78
1363	3415	78
1370	3418	78
1366	3432	78
1357	3419	78
1352	3403	78
1344	3400	78
1339	3410	78
1341	3423	78
1347	3432	78
1357	3430	78
1359	3444	78
1348	3446	78
1350	3458	78
1341	3449	78
1338	3458	78
1346	3470	78
1346	3484	78
1349	3492	78
1355	3494	78
1391	3417	78
1395	3429	78
1387	3425	78
1377	3418	78
