nPosX	nPosY	map_ID
3316	4941	11
3311	4938	11
3309	4930	11
3314	4930	11
3320	4933	11
3325	4939	11
3330	4935	11
3331	4942	11
3335	4944	11
3340	4947	11
3347	4950	11
3349	4957	11
3356	4953	11
3351	4936	11
3346	4928	11
3352	4923	11
3355	4913	11
3355	4902	11
3356	4892	11
3363	4889	11
3370	4895	11
3369	4909	11
3365	4910	11
3348	4876	11
3341	4879	11
3341	4872	11
3334	4868	11
3332	4876	11
3324	4865	11
3324	4876	11
3306	4875	11
3309	4860	11
3312	4850	11
3306	4842	11
3300	4852	11
3299	4865	11
3290	4860	11
3288	4868	11
3280	4864	11
3284	4856	11
3272	4852	11
3267	4862	11
3263	4847	11
3265	4839	11
3290	4803	11
3302	4802	11
3308	4800	11
3309	4787	11
3306	4776	11
3299	4813	11
2964	5158	11
2966	5166	11
2957	5165	11
2960	5176	11
2951	5179	11
2958	5184	11
2959	5201	11
2963	5191	11
2947	5189	11
2940	5194	11
2944	5199	11
2932	5197	11
2936	5202	11
2934	5209	11
2934	5221	11
2941	5229	11
2941	5238	11
2945	5246	11
2950	5235	11
2963	5231	11
2970	5228	11
2965	5215	11
2979	5233	11
2984	5242	11
2984	5258	11
2989	5267	11
2949	5257	11
2927	5216	11
2919	5227	11
2923	5235	11
2915	5239	11
2908	5231	11
2909	5243	11
2900	5234	11
2894	5224	11
2892	5211	11
2889	5199	11
2894	5186	11
2899	5173	11
2910	5176	11
2920	5185	11
2911	5163	11
2904	5157	11
2902	5144	11
2894	5141	11
2885	5137	11
2882	5218	11
2875	5227	11
2881	5235	11
2890	5238	11
