nPosX	nPosY	map_ID
1345	3395	176
1340	3389	176
1336	3385	176
1339	3398	176
1333	3395	176
1328	3382	176
1324	3372	176
1319	3386	176
1315	3375	176
1318	3365	176
1310	3363	176
1305	3371	176
1300	3376	176
1295	3365	176
1290	3373	176
1287	3362	176
1281	3376	176
1278	3365	176
1281	3357	176
1272	3357	176
1270	3369	176
1267	3377	176
1261	3383	176
1260	3371	176
1265	3358	176
1262	3352	176
1259	3342	176
1250	3342	176
1250	3356	176
1255	3364	176
1245	3368	176
1239	3359	176
1242	3349	176
1233	3338	176
1226	3331	176
1226	3350	176
1214	3354	176
1212	3347	176
1231	3362	176
1233	3348	176
1254	3394	176
1247	3402	176
1253	3409	176
1257	3418	176
1265	3425	176
1274	3425	176
1283	3419	176
1281	3437	176
1287	3443	176
1257	3386	176
1645	2877	176
1639	2868	176
1629	2861	176
1636	2854	176
1636	2841	176
1648	2846	176
1657	2851	176
1656	2864	176
1653	2873	176
1659	2875	176
1668	2869	176
1678	2867	176
1684	2862	176
1691	2864	176
1689	2849	176
1692	2836	176
1695	2823	176
1700	2836	176
1706	2839	176
1715	2830	176
1715	2844	176
1698	2800	176
1705	2788	176
1695	2777	176
1695	2761	176
1660	2836	176
1651	2825	176
1644	2821	176
1635	2811	176
1647	2803	176
1652	2793	176
1660	2786	176
1650	2778	176
1644	2787	176
1650	2761	176
1659	2756	176
1660	2742	176
1656	2731	176
1653	2719	176
1645	2715	176
1636	2722	176
1631	2734	176
1623	2731	176
1626	2744	176
1620	2752	176
1623	2766	176
1618	2775	176
1624	2786	176
1631	2795	176
1621	2806	176
