Ð§¹û	ÊÇ·ñÇ°×º	ÎåÐÐÒªÇó	µÈ¼¶ÒªÇó	ÊôÐÔµ÷ÕûÀà±ð	²ÎÊý1×îÐ¡Öµ	²ÎÊý1×î´óÖµ	²ÎÊý2×îÐ¡Öµ	²ÎÊý2×î´óÖµ	²ÎÊý3×îÐ¡Öµ	²ÎÊý3×î´óÖµ	Ð§¹ûËµÃ÷
Sinh lùc 1				85	-50	50	-1	-1	0	0	0
Sinh lùc 2				85	120	200	-1	-1	0	0	0
Sinh lùc 3				85	160	240	-1	-1	0	0	0
Sinh lùc 4				85	300	400	-1	-1	0	0	0
Néi lùc1				89	-50	50	-1	-1	0	0	0
Néi lùc2				89	120	200	-1	-1	0	0	0
Néi lùc3				89	160	240	-1	-1	0	0	0
Néi lùc4				89	300	400	-1	-1	0	0	0
ThÓ lùc 1				93	-50	50	-1	-1	0	0	0
ThÓ lùc 2				93	120	200	-1	-1	0	0	0
ThÓ lùc 3				93	160	240	-1	-1	0	0	0
ThÓ lùc 4				93	300	400	-1	-1	0	0	0
Phôc håi Néi lùc1				92	-2	2	-1	-1	0	0	0
Phôc håi Néi lùc2				92	3	6	-1	-1	0	0	0
Phôc håi Néi lùc3				92	5	8	-1	-1	0	0	0
Phôc håi Néi lùc4				92	9	12	-1	-1	0	0	0
Phôc håi Sinh lùc 1				88	-2	2	-1	-1	0	0	0
Phôc håi Sinh lùc 2				88	3	6	-1	-1	0	0	0
Phôc håi Sinh lùc 3				88	5	8	-1	-1	0	0	0
Phôc håi Sinh lùc 4				88	9	12	-1	-1	0	0	0
Phôc håi thÓ lùc 1				96	-2	2	-1	-1	0	0	0
Phôc håi thÓ lùc 2				96	3	6	-1	-1	0	0	0
Phôc håi thÓ lùc 3				96	5	8	-1	-1	0	0	0
Phôc håi thÓ lùc 4				96	9	12	-1	-1	0	0	0
Gi¶m thêi gian tróng ®éc 1				108	-10	10	-1	-1	0	0	0
Gi¶m thêi gian tróng ®éc 2				108	25	40	-1	-1	0	0	0
Gi¶m thêi gian tróng ®éc 3				108	35	50	-1	-1	0	0	0
Gi¶m thêi gian tróng ®éc 4				108	60	80	-1	-1	0	0	0
Gi¶m cho¸ng 1				110	-10	10	-1	-1	0	0	0
Gi¶m cho¸ng 2				110	25	40	-1	-1	0	0	0
Gi¶m cho¸ng 3				110	40	50	-1	-1	0	0	0
Gi¶m cho¸ng 4				110	60	80	-1	-1	0	0	0
Gi¶m thêi gian ®ãng b¨ng 1				106	-10	10	-1	-1	0	0	0
Gi¶m thêi gian ®ãng b¨ng 2				106	25	40	-1	-1	0	0	0
Gi¶m thêi gian ®ãng b¨ng 3				106	35	50	-1	-1	0	0	0
Gi¶m thêi gian ®ãng b¨ng 4				106	60	80	-1	-1	0	0	0
Phôc håi tr¹ng th¸i c«ng kÝch 1				113	20	30	-1	-1	0	0	0
