前后缀名称	是否前缀	五行属性要求	等级要求	属性调整类别	参数1最小值	参数1最大值	参数2最小值	参数2最大值	参数3最小值	参数3最大值	效果说明	近程武器	暗器	盔甲	戒指	项链	靴子	腰带	头盔	护腕	腰坠	马
青铜	1		1	126	5	10	-1	-1	6	6	加伤害强化	100000	100000	0	0	0	0	0	0	0	0	0
赤铜	1		2	126	10	20	-1	-1	6	6	加伤害强化	100000	100000	0	0	0	0	0	0	0	0	0
生铁	1		3	126	20	30	-1	-1	6	6	加伤害强化	100000	100000	0	0	0	0	0	0	0	0	0
精钢	1		4	126	30	40	-1	-1	6	6	加伤害强化	100000	100000	0	0	0	0	0	0	0	0	0
白银	1		5	126	40	50	-1	-1	6	6	加伤害强化	100000	100000	0	0	0	0	0	0	0	0	0
纯银	1		6	126	50	60	-1	-1	6	6	加伤害强化	100000	100000	0	0	0	0	0	0	0	0	0
黄金	1		7	126	60	70	-1	-1	6	6	加伤害强化	100000	100000	0	0	0	0	0	0	0	0	0
白金	1		8	126	70	80	-1	-1	6	6	加伤害强化	100000	100000	0	0	0	0	0	0	0	0	0
陨铁	1		9	126	80	90	-1	-1	6	6	加伤害强化	100000	100000	0	0	0	0	0	0	0	0	0
玄铁	1		10	126	90	100	-1	-1	6	6	加伤害强化	100000	100000	0	0	0	0	0	0	0	0	0
锋利	1		1	166	10	30	-1	-1	0	0	加命中率	300000	300000	0	0	0	0	0	0	0	0	0
美好	1		2	166	30	60	-1	-1	0	0	加命中率	300000	300000	0	0	0	0	0	0	0	0	0
武士	1		3	166	60	90	-1	-1	0	0	加命中率	300000	300000	0	0	0	0	0	0	0	0	0
侠客	1		4	166	90	120	-1	-1	0	0	加命中率	300000	300000	0	0	0	0	0	0	0	0	0
霸主	1		5	166	120	150	-1	-1	0	0	加命中率	300000	300000	0	0	0	0	0	0	0	0	0
国王	1		6	166	150	180	-1	-1	0	0	加命中率	300000	300000	0	0	0	0	0	0	0	0	0
君王	1		7	166	180	210	-1	-1	0	0	加命中率	300000	300000	0	0	0	0	0	0	0	0	0
霸王	1		8	166	210	240	-1	-1	0	0	加命中率	300000	300000	0	0	0	0	0	0	0	0	0
皇帝	1		9	166	240	270	-1	-1	0	0	加命中率	300000	300000	0	0	0	0	0	0	0	0	0
玉帝	1		10	166	270	300	-1	-1	0	0	加命中率	300000	300000	0	0	0	0	0	0	0	0	0
快速	1		2	115	10	10	-1	-1	0	0	加攻击速度	20000	20000	0	0	0	0	0	0	0	0	0
急速	1		5	115	20	20	-1	-1	0	0	加攻击速度	20000	20000	0	0	0	0	0	0	0	0	0
电速	1		9	115	30	30	-1	-1	0	0	加攻击速度	20000	20000	0	0	0	0	0	0	0	0	0
刺穿	1		10	58	1	1	-1	-1	0	0	忽略对手防御	10000	10000	0	0	0	0	0	0	0	0	0
永恒	1		10	43	1	1	-1	-1	0	0	永不磨损	100	100	100	0	0	100	100	100	100	0	0
结实	1		1	150	20	30	-1	-1	0	0	加防御强化	0	0	0	0	0	0	0	0	0	0	0
硬化	1		2	150	30	40	-1	-1	0	0	加防御强化	0	0	0	0	0	0	0	0	0	0	0
