Ãû³Æ	ItemGenre	DetailType	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ParticularType
Thóy Vò tr©m	4	0	\spr\item\questkey\taskobj001.spr	41	1	1	VËt phÈm nhiÖm vô  	0
§¹i M¹n ®µ la hoa	4	1	\spr\item\questkey\taskobj002.spr	41	1	1	VËt phÈm nhiÖm vô  	0
C¸ Ng©n TuyÕt	4	2	\spr\item\questkey\taskobj003.spr	41	1	1	VËt phÈm nhiÖm vô  	0
Bİch th­êng Phông §iÖp 	4	3	\spr\item\questkey\taskobj004.spr	41	1	1	VËt phÈm nhiÖm vô  	0
Trïng ®á 	4	4	\spr\item\questkey\taskobj005.spr	41	1	1	VËt phÈm nhiÖm vô  	0
Vò §ång Quan ©m 	4	5	\spr\item\questkey\taskobj006.spr	41	1	2	VËt phÈm nhiÖm vô  	0
Kh¨n t¬ cÊm ®Şa 	4	6	\spr\item\questkey\taskobj007.spr	41	1	1	VËt phÈm nhiÖm vô  	0
X­¬ng ®Çu l¹c ®µ	4	7	\spr\item\questkey\taskobj008.spr	41	1	1	VËt phÈm nhiÖm vô  	0
Kim T¬ HÇu	4	8	\spr\item\questkey\taskobj009.spr	41	1	1	VËt phÈm nhiÖm vô  	0
HuyÕt Hån ThÇn KiÕm	4	9	\spr\item\questkey\taskobj010.spr	41	1	1	VËt phÈm nhiÖm vô  	0
1 nóm tãc	4	10	\spr\item\questkey\taskobj011.spr	41	1	1	VËt phÈm nhiÖm vô  	0
Phôc Hy táa 	4	11	\spr\item\questkey\taskobj012.spr	41	1	1	VËt phÈm nhiÖm vô  	0
Viªm §Õ táa 	4	12	\spr\item\questkey\taskobj013.spr	41	1	1	VËt phÈm nhiÖm vô  	0
ThiÕu H¹o táa 	4	13	\spr\item\questkey\taskobj014.spr	41	1	1	VËt phÈm nhiÖm vô  	0
Chuyªn Hóc táa 	4	14	\spr\item\questkey\taskobj015.spr	41	1	1	VËt phÈm nhiÖm vô  	0
Hoµng ®Õ táa 	4	15	\spr\item\questkey\taskobj016.spr	41	1	1	VËt phÈm nhiÖm vô  	0
Ngò S¾c Th¹ch 	4	16	\spr\item\questkey\taskobj017.spr	41	1	1	VËt phÈm nhiÖm vô  	0
B¹ch Ngäc Nh­ ı 	4	17	\spr\item\questkey\taskobj018.spr	41	1	1	VËt chøng ®Ó gia  nhËp Nga Mi.	0
M¶nh g­¬ng (tr¸i)	4	18	\spr\item\questkey\taskobj019.spr	41	1	1	M¶nh g­¬ng bªn tr¸i. VËt phÈm nhiÖm vô.	0
M¶nh g­¬ng (ph¶i)	4	19	\spr\item\questkey\taskobj019-1.spr	41	1	1	M¶nh g­¬ng bªn ph¶i.VËt phÈm nhiÖm vô.	0
G­¬ng §ång	4	20	\spr\item\questkey\taskobj020.spr	41	1	1	1 tÊm g­¬ng §ång hoµn chØnh.	0
Phï Dung CÈm Kª ®å	4	21	\spr\item\questkey\taskobj021.spr	41	1	1	VËt phÈm nhiÖm vô 	0
B¸ch §iÓu TriÒu Phông	4	22	\spr\item\questkey\taskobj022.spr	41	1	1	VËt phÈm nhiÖm vô. 	0
Kim TuyÕn Tó T­îng Kim Cang Kinh 	4	23	\spr\item\questkey\taskobj023.spr	41	1	1	VËt phÈm nhiÖm vô 	0
Yªn Ngäc ChØ hoµn 	4	24	\spr\item\questkey\taskobj024.spr	41	1	1	Tİn vËt cña ch­ëng m«n Nga mi. VËt phÈm nhiÖm vô 	0
Toµn th¹ch 	4	25	\spr\item\questkey\taskobj025.spr	41	1	1	VËt phÈm nhiÖm vô  	0
Kim Liªn hoa 	4	26	\spr\item\questkey\taskobj026.spr	41	1	1	VËt phÈm nhiÖm vô  	0
B¸t Nh· Ba La MËt T©m kinh	4	27	\spr\item\questkey\taskobj027.spr	41	1	1	VËt phÈm nhiÖm vô  	0
DŞch Cèt Kinh	4	28	\spr\item\questkey\taskobj028.spr	41	1	1	VËt phÈm nhiÖm vô  	0
1 x©u Trµng h¹t 	4	29	\spr\item\questkey\taskobj029.spr	41	1	1	VËt phÈm nhiÖm vô  	0
ThiÒn tr­îng 	4	30	\spr\item\questkey\taskobj030.spr	41	1	1	VËt phÈm nhiÖm vô  	0
Méc ng­ 	4	31	\spr\item\questkey\taskobj031.spr	41	1	1	VËt phÈm nhiÖm vô  	0
