???????	???????	????????
1	4	0
2	4	0
3		0
4		0
5		0
6	29	0
7		0
8		0
9		0
10		0
11	25	0
12		0
13		0
14		0
15		0
16	33	0
17	48	0
18		0
19		0
20		0
21	27	0
22	48	0
23		0
24		0
25		0
26	25	0
27		0
28		0
29	16	0
30		0
31	23	0
32		0
33		0
34		0
35		0
36	19	0
37		0
38		0
39		0
40		0
41	19	0
42		0
43		0
44		0
45		0
46	25	0
47		0
48		0
49		0
50		0
51	31	0
52	20	0
53		0
54		0
55		0
56	9	0
57	30	0
58		0
59		0
60		0
61	25	0
62	9	0
63		0
64		0
65		0
66	9	0
67		0
68		0
69		0
70		0
71	21	0
72	12	0
73		0
74		0
75		0
76	21	0
77		0
78		0
79		0
80		0
81	21	0
82	21	0
83		0
84		0
85		0
86	13	0
87		0
88		0
89		0
90		0
91		0
92	19	0
93		0
94		0
95		0
96	29	0
97	19	0
98		0
99		0
100		0
101	27	0
102	10	0
103		0
104	13	0
105		0
106	13	0
107		0
108		0
109		0
110		0
111	10	0
112		0
113		0
114		0
115		0
116	23	0
117		0
118		0
119		0
120		0
121	23	0
122		0
123		0
124		0
125		0
126	25	0
127		0
128		0
129		0
130		0
131	6	0
132		0
133		0
134		0
135		0
136	6	0
137		0
138		0
139		0
140		0
141		0
142		0
143		0
144		0
145		0
146		0
147	21	0
148		0
149		0
150		0
151		0
152		0
153	16	0
154	36	0
155		0
156		0
157		0
158		0
159	13	0
160	13	0
161		0
162		0
163		0
164		0
165		0
166		0
167		0
168	13	0
169	13	0
170		0
171		0
172		0
173		0
174		0
175		0
176		0
177	16	0
178	16	0
179		0
180		0
181		0
182		0
183		0
184		0
185		0
186	12	0
187		0
188		0
189		0
190	15	0
191		0
192		0
193		0
194	19	0
195	16	0
196		0
197		0
198		0
199		0
200		0
201		0
202		0
203	27	0
204		0
205		0
206		0
207		0
208		0
209		0
210		0
211		0
212		0
213		0
214	13	0
215		0
216		0
217		0
218		0
219		0
220	4	0
221	4	0
222		0
223		0
224		0
225	29	0
226		0
227		0
228		0
