Name	ItemGenre	DetailType	ParticularType	Descript
§å phæ Hoµng Kim - Méng Long Chİnh Hoµng T¨ng M·o	6	1	239	VËt liÖu yªu cÇu<color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng sinh lùc, cÊp 8 trë lªn<enter>Vâ L©m MËt TŞch<enter>MËt Ng©n Kho¸ng: T¨ng phÇn tr¨m STVL hÖ ngo¹i c«ng, cÊp 7 trë lªn<enter>Phï Dung Th¹ch: T¨ng kh¸ng háa, cÊp 8 trë lªn<enter>Chu Sa Kho¸ng: T¨ng néi lùc, cÊp 7 trë lªn<enter>ThiÕu L©m QuyÒn Ph¸p quyÓn 1
§å phæ Hoµng Kim - Méng Long Kim Ti Chİnh Hång Cµ Sa	6	1	240	Nguyªn liÖu <color=yellow><enter>HuyÒn ThiÕt Kho¸ng t¨ng møc sinh lùc cÊp 7 trë lªn.<enter>Vâ L©m MËt TŞch.<enter>MËt Ng©n Kho¸ng: t¨ng møc néi lùc cÊp 6 trë lªn. <enter>HuyÒn ThiÕt Kho¸ng: gi¶m thêi gian phôc håi cÊp 5 trë lªn. <enter>Phï Dung Th¹ch: t¨ng phßng thñ vËt lı cÊp 5 trë lªn.<enter>ThiÕu L©m QuyÒn Ph¸p quyÓn 1.
§å phæ Hoµng Kim - Méng Long HuyÒn Ti Ph¸p §¸i	6	1	241	VËt liªu yªu cÇu: <color=yellow><enter>HuyÒn ThiÕt Kho¸ng: t¨ng sinh lùc cÊp trªn 8<enter>Khæng T­íc Th¹ch:  thêi gian lµm chËm cÊp trªn 7<enter>Phï Dung Th¹ch: Kh¸ng háa cÊp trªn 7<enter>Phï dung th¹ch: thêi gian tróng ®éc cÊp trªn 8<enter>Chu Nhò Th¹ch: gi¶m cho¸ng cÊp trªn 8<enter>ThiÕu L©m QuyÒn Ph¸p quyÓn 1
§å phæ Hoµng Kim - Méng Long PhËt Ph¸p HuyÒn Béi	6	1	242	.
§å phæ Hoµng Kim - Méng Long §¹t Ma T¨ng Hµi	6	1	243	.
§å phæ Hoµng Kim - Phôc Ma Tö Kim C«n	6	1	244	Nguyªn liÖu yªu cÇu:  <color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng % STVL ngo¹i c«ng cÊp 7 trë lªn<enter>MËt Ng©n Kho¸ng: T¨ng ®é chİnh x¸c cÊp 6 trë lªn<enter>Chu Sa Kho¸ng: Hót néi lùc cÊp 5 trë lªn<enter>HuyÒn ThiÕt Kho¸ng: T¨ng tèc ®é ®¸nh ngo¹i c«ng cÊp 5 trë lªn<enter>Phï Dung Th¹ch: T¨ng ®iÓm STVL ngo¹i c«ng cÊp 5 trë lªn<enter>Vâ L©m MËt TŞch
§å phæ Hoµng Kim - Phôc Ma HuyÒn Hoµng Cµ Sa	6	1	245	.
§å phæ Hoµng Kim - Phôc Ma ¤ Kim NhuyÔn §iÒu	6	1	246	VËt liªu yªu cÇu<color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng sinh lùc cÊp trªn 8<enter>Khæng T­íc Th¹ch: thêi gian lµm chËm cÊp trªn 8<enter>Phï Dung Th¹ch: Kh¸ng háa cÊp trªn 7<enter>Phï Dung Th¹ch: Thêi gian tróng ®éc cÊp trªn 7<enter>Chung Nhò Th¹ch: Gi¶m cho¸ng cÊp trªn 8<enter>ThiÕu L©m C«n Ph¸p quyÓn 2
§å phæ Hoµng Kim - Phôc Ma PhËt T©m NhuyÔn KhÊu	6	1	247	.
§å phæ Hoµng Kim - Phôc Ma Phæ §é T¨ng Hµi	6	1	248	VËt liÖu yªu cÇu<color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng sinh lùc, cÊp 8 trë lªn<enter>Vâ L©m MËt TŞch<enter>MËt Ng©n Kho¸ng: T¨ng tèc ®é ch¹y, cÊp 8 trë lªn<enter>Phï Dung Th¹ch: T¨ng kh¸ng l«i, cÊp 7 trë lªn<enter>Chu Sa Kho¸ng: T¨ng néi lùc, cÊp 6 trë lªn<enter>Chung Nhò Th¹ch: Thêi gian lµm chËm, cÊp 6 trë lªn
