武器装备编号	人物部件编号
1	2
2	3
3	3
4	3
5	3
6	4
7	4
8	4
9	5
10	5
11	23
12	6
13	6
14	6
15	6
16	7
17	7
18	7
19	8
20	8
21	25
22	12
23	12
24	12
25	12
26	13
27	13
28	13
29	14
30	14
31	29
32	9
33	9
34	9
35	9
36	10
37	10
38	10
39	11
40	11
41	27
42	18
43	18
44	18
45	18
46	19
47	19
48	19
49	20
50	20
51	33
52	15
53	15
54	15
55	15
56	16
57	16
58	16
59	17
60	17
61	31
62	2
63	2
64	2
65	2
66	2
67	2
68	2
69	2
70	2
71	2
72	220
73	220
74	220
75	220
76	220
77	220
78	220
79	220
80	220
81	220
82	221
83	221
84	221
85	221
86	221
87	221
88	221
89	221
90	221
91	221
